LocationID,borough
92,Queens
80,Brooklyn
42,Manhattan
41,Manhattan
223,Queens
93,Queens
66,Brooklyn
130,Queens
112,Brooklyn
260,Queens
74,Manhattan
95,Queens
181,Brooklyn
25,Brooklyn
97,Brooklyn
129,Queens
82,Queens
75,Manhattan
134,Queens
83,Queens
255,Brooklyn
36,Brooklyn
157,Queens
231,Manhattan
168,Bronx
135,Queens
243,Manhattan
148,Manhattan
211,Manhattan
34,Brooklyn
256,Brooklyn
65,Brooklyn
7,Queens
37,Brooklyn
198,Queens
138,Queens
226,Queens
177,Brooklyn
127,Manhattan
225,Brooklyn
235,Bronx
195,Brooklyn
247,Bronx
171,Queens
166,Manhattan
136,Bronx
241,Bronx
69,Bronx
146,Queens
43,Manhattan
248,Bronx
17,Brooklyn
244,Manhattan
22,Brooklyn
116,Manhattan
33,Brooklyn
71,Brooklyn
29,Brooklyn
55,Brooklyn
182,Bronx
159,Bronx
196,Queens
152,Manhattan
216,Queens
10,Queens
52,Brooklyn
24,Manhattan
210,Brooklyn
76,Brooklyn
49,Brooklyn
145,Queens
45,Manhattan
119,Bronx
53,Queens
186,Manhattan
163,Manhattan
236,Manhattan
193,Queens
100,Manhattan
246,Manhattan
40,Brooklyn
228,Brooklyn
164,Manhattan
263,Manhattan
190,Brooklyn
132,Queens
160,Queens
179,Queens
234,Manhattan
57,Queens
197,Queens
169,Bronx
217,Brooklyn
249,Manhattan
212,Bronx
67,Brooklyn
121,Queens
125,Manhattan
61,Brooklyn
70,Queens
215,Queens
165,Brooklyn
218,Queens
219,Queens
27,Queens
26,Brooklyn
205,Queens
174,Bronx
133,Brooklyn
56,Queens
258,Queens
144,Manhattan
108,Brooklyn
68,Manhattan
189,Brooklyn
253,Queens
28,Queens
173,Queens
89,Brooklyn
18,Bronx
185,Bronx
153,Manhattan
35,Brooklyn
167,Bronx
32,Bronx
220,Bronx
170,Manhattan
155,Brooklyn
85,Brooklyn
230,Manhattan
191,Queens
91,Brooklyn
250,Bronx
14,Brooklyn
98,Queens
227,Brooklyn
60,Bronx
175,Queens
64,Queens
102,Queens
254,Bronx
137,Manhattan
47,Bronx
114,Manhattan
48,Manhattan
63,Brooklyn
162,Manhattan
262,Manhattan
239,Manhattan
101,Queens
72,Brooklyn
78,Bronx
39,Brooklyn
123,Brooklyn
161,Manhattan
202,Manhattan
90,Manhattan
38,Queens
233,Manhattan
209,Manhattan
151,Manhattan
150,Brooklyn
131,Queens
107,Manhattan
16,Queens
50,Manhattan
242,Bronx
188,Brooklyn
203,Queens
139,Queens
207,Queens
192,Queens
252,Queens
15,Queens
142,Manhattan
113,Manhattan
141,Manhattan
117,Queens
3,Bronx
21,Brooklyn
62,Brooklyn
143,Manhattan
200,Bronx
149,Brooklyn
238,Manhattan
51,Bronx
237,Manhattan
54,Brooklyn
73,Queens
79,Manhattan
4,Manhattan
81,Bronx
147,Bronx
257,Brooklyn
213,Bronx
222,Brooklyn
11,Brooklyn
232,Manhattan
87,Manhattan
31,Bronx
140,Manhattan
9,Queens
208,Bronx
77,Brooklyn
94,Bronx
126,Bronx
20,Bronx
128,Manhattan
13,Manhattan
259,Bronx
158,Manhattan
229,Manhattan
96,Queens
19,Queens
106,Brooklyn
240,Bronx
180,Queens
86,Queens
261,Manhattan
122,Queens
183,Bronx
178,Brooklyn
194,Manhattan
124,Queens
30,Queens
88,Manhattan
