Inventory Type,Sectors Sector,Category Full,Category Label,Source Full,Source Label,Source Units,CY 2005 Consumed,CY 2005 tCO2e (100 yr GWP),CY 2005 Source MMBtu,CY 2005 tCO2e (20 yr GWP),CY 2006 Consumed,CY 2006 tCO2e (100 yr GWP),CY 2006 Source MMBtu,CY 2006 tCO2e (20 yr GWP),CY 2007 Consumed,CY 2007 tCO2e (100 yr GWP),CY 2007 Source MMBtu,CY 2007 tCO2e (20 yr GWP),CY 2008 Consumed,CY 2008 tCO2e (100 yr GWP),CY 2008 Source MMBtu,CY 2008 tCO2e (20 yr GWP),CY 2009 Consumed,CY 2009 tCO2e (100 yr GWP),CY 2009 Source MMBtu,CY 2009 tCO2e (20 yr GWP),CY 2010 Consumed,CY 2010 tCO2e (100 yr GWP),CY 2010 Source MMBtu,CY 2010 tCO2e (20 yr GWP),CY 2011 Consumed,CY 2011 tCO2e (100 yr GWP),CY 2011 Source MMBtu,CY 2011 tCO2e (20 yr GWP),CY 2012 Consumed,CY 2012 tCO2e (100 yr GWP),CY 2012 Source MMBtu,CY 2012 tCO2e (20 yr GWP),CY 2013 Consumed,CY 2013 tCO2e (100 yr GWP),CY 2013 Source MMBtu,CY 2013 tCO2e (20 yr GWP),CY 2014 Consumed,CY 2014 tCO2e (100 yr GWP),CY 2014 Source MMBtu,CY 2014 tCO2e (20 yr GWP),CY 2015 Consumed,CY 2015 tCO2e (100 yr GWP),CY 2015 Source MMBtu,CY 2015 tCO2e (20 yr GWP),CY 2016 Consumed,CY 2016 tCO2e (100 yr GWP),CY 2016 Source MMBtu,CY 2016 tCO2e (20 yr GWP),CY 2017 Consumed,CY 2017 tCO2e (100 yr GWP),CY 2017 Source MMBtu,CY 2017 tCO2e (20 yr GWP),CY 2018 Consumed,CY 2018 tCO2e (100 yr GWP),CY 2018 Source MMBtu,CY 2018 tCO2e (20 yr GWP),CY 2019 Consumed,CY 2019 tCO2e (100 yr GWP),CY 2019 Source MMBtu,CY 2019 tCO2e (20 yr GWP),CY 2020 Consumed,CY 2020 tCO2e (100 yr GWP),CY 2020 Source MMBtu,CY 2020 tCO2e (20 yr GWP),CY 2021 Consumed,CY 2021 tCO2e (100 yr GWP),CY 2021 Source MMBtu,CY 2021 tCO2e (20 yr GWP),CY 2022 Consumed,CY 2022 tCO2e (100 yr GWP),CY 2022 Source MMBtu,CY 2022 tCO2e (20 yr GWP),CY 2023 Consumed,CY 2023 tCO2e (100 yr GWP),CY 2023 Source MMBtu,CY 2023 tCO2e (20 yr GWP),2005 - 2022 % change Consumed,2005 - 2022 % change tCO2e,2005 - 2022 % change Source MMBtu,2005 - 2022 % change tCO2e 20 yr GWP
GPC,Stationary Energy,Residential (small and large residential),Residential,#2 fuel oil,#2 fuel oil,gallon,146645995.87,1517233.2,20439518.9,1549279.75,123651982.44,1279331.85,17234613.31,1306353.52,142240147.96,1471649.29,19825431.82,1502733.03,131107009.25,1356463.27,18273694.95,1385114.09,146483621.5,1515553.24,20416887.16,1547564.31,141176974.44,1460649.45,19677246.7,1491500.85,138166876.57,1429506.28,19257699.26,1459699.89,125207366.44,1295424.21,17451402.73,1322785.78,160324833.76,1658757.6,22346075.33,1693793.39,122982866.62,1272409.02,17141351.95,1299284.47,160363033.9,1659152.83,22351399.66,1694196.97,122583830.04,1268280.5,17085734.23,1295068.74,105767349.32,1094293.32,14741853.15,1117406.66,134471590.33,1391274,18742650.26,1420660.08,136255620.5,1409731.99,18991308.38,1439507.93,97015873.57,1003748.54,13522072.46,1024949.42,94453737.87,977240.1,13164961.98,997881.07,105948850.49,1096171.18,14767150.78,1119324.18,90526881.46,936611.94,12617636.74,956394.78,-38.2684259989949,-38.268425710695,-38.2684259755253,-38.2684256991031
GPC,Stationary Energy,Residential (small and large residential),Residential,#4 fuel oil,#4 fuel oil,gallon,77860780.31,856223.01,11481350.66,858049,65022633.96,715043.89,9588237.6,716568.8,75099917.57,825862.23,11074233.85,827623.47,64175239.61,705725.23,9463280.83,707230.26,77040974.01,847207.73,11360462.03,849014.49,76167717.24,837604.66,11231691.58,839390.94,73887257.69,812526.79,10895415.02,814259.6,73319446.2,806282.66,10811685.54,808002.15,87782041.07,965325.59,12944339.78,967384.25,53636327.46,589830.43,7909212.85,591088.31,94126768.83,1035097.58,13879933.33,1037305.04,68898336.48,757664.4,10159748.7,759280.2,73860750.68,812235.3,10891506.3,813967.48,65745104.32,722988.79,9694773.08,724530.64,57086798.88,627774.74,8418019.36,629113.54,37052732.59,407463.19,5463795.95,408332.15,43837331.57,482072.38,6464252.91,483100.46,40549909.74,445921.11,5979489.69,446872.09,28961810.95,318488.57,4270708.64,319167.79,-62.8030815582768,-62.8030821082465,-62.8030815670602,-62.8030811760168
GPC,Stationary Energy,Residential (small and large residential),Residential,#6 fuel oil,#6 fuel oil,gallon,193846082.8,2191841.89,29367681.54,2196491.29,163766139.67,1851724.21,24810570.16,1855652.14,203141455.35,2296945.83,30775930.48,2301818.18,177479668.92,2006784.8,26888169.84,2011041.65,202597911.87,2290799.91,30693583.65,2295659.23,192084422.87,2171922.58,29100790.06,2176529.72,180323582.12,2038941.28,27319022.69,2043266.34,140702305.15,1590938.55,21316399.23,1594313.3,104423928.76,1180734.42,15820225.21,1183239.02,27329254.41,309015.3,4140382.04,309670.79,12693209.12,143523.7,1923021.18,143828.15,1699774.58,19219.56,257515.85,19260.33,939792.25,10626.35,142378.53,10648.89,4255989.21,48123,644782.37,48225.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100
GPC,Stationary Energy,Residential (small and large residential),Residential,Biofuel,Biofuel,gallon,719495.07,4.77,93016.32,10.14,1490342.87,9.89,192671.53,21.01,1745069.88,11.58,225602.63,24.6,1421342.93,9.43,183751.21,20.04,2148484.42,14.26,277756.07,30.29,1433903.4,9.52,185375.03,20.22,2338460.09,15.52,302316.12,32.97,7018076.62,46.57,907296.95,98.94,10050483.63,66.7,1299326.52,141.69,6760601.49,44.86,874010.56,95.31,8794187.26,58.36,1136912.53,123.98,7388132.72,49.03,955137.8,104.16,11668446.98,77.43,1508496.83,164.5,14552092.1,96.57,1881294.47,205.16,16147022.79,107.15,2087487.11,227.64,14509638.81,96.29,1875806.11,204.56,12062335.43,80.05,1559418.72,170.05,12529004.93,83.14,1619749.76,176.63,10860701.64,72.07,1404071.51,153.11,1409.4893756534,1410.90146750524,1409.48942078121,1409.96055226824
GPC,Stationary Energy,Residential (small and large residential),Residential,Electricity,Electricity,kWh,14168364733.94,7062392.25,123273274.2,7072258.42,13052549911.67,5484899.71,113565015.76,5491717.58,13631341906.22,5783449.99,118600853.39,5790642.84,14479576692,5513528.76,125981004.97,5520314.03,15017935746,5026654.97,130665051.75,5032723.57,16246085145.17,5550464.21,141350688.41,5556983.41,16163973377.1,5008080.66,140636266.76,5013439.31,15962572177.07,5197671.05,138883955.48,5203579.95,15658135234.5,4669269.48,136235171.42,4674446.04,15056362253.46,4918186.75,130999385.42,4923891.43,15705500653.28,5011573.3,136647278.98,5017412.85,15452546914.5,4959918.07,134446429.68,4965705.5,15430213717.66,4325717.27,134252117.47,4330435.89,15882302313.65,4883633.61,138185559.51,4889074.98,15414984037.68,4463262.21,134119610.12,4467911.41,14577247613.58,4598867.64,126830800.59,4225100.12,14622450805.55,4939971.32,127224095.48,4238201.91,14487223970.25,5355894.6,126047540.88,5361386.05,14214533568.31,5257590.73,123674970.76,5260469.65,0.325858595801127,-25.5551016725246,0.325858595552743,-25.6182489722993
GPC,Stationary Energy,Residential (small and large residential),Residential,Natural gas,Natural gas,SCF,164840051823.53,8983129.56,177582187.83,8992179.12,156690514277.53,8539012.06,168802691.03,8547614.22,172612235260.26,9406682.76,185955161.05,9416159,140712584224.4,7668278.2,151589666.98,7676003.18,138210347563.96,7531916.21,148894007.43,7539503.82,156854670084.42,8547957.9,168979536.08,8556569.07,163122617151.33,8889536.18,175731995.46,8898491.45,147155810320.07,8019408.48,158530954.46,8027487.19,75385413471.51,4108206.28,81212705.93,4112344.87,180249523909.04,9822884.72,194182812.11,9832780.24,177354752086.9,9665131.13,191064274.42,9674867.73,190288200910.23,10369952.84,204997478.84,10380399.47,181809058825.62,9907873.2,195862899.07,9917854.33,193033693881.09,10519571.32,207955198.42,10530168.68,188512555543.6,10273187.2,203084576.09,10283536.35,179289161755.73,9770548.79,193148213.96,9780391.59,177712778152.27,9684642.13,191449975.9,9694398.39,182986680771.08,9972048.93,197131551.19,9982094.71,228307193527.52,12441837.27,245955339.59,12454371.1,38.5022577958996,38.5022578924042,38.5022577970792,38.5022577263786
GPC,Stationary Energy,Residential (small and large residential),Residential,Steam,Steam,kg,1998982583.67,332184.37,6314357.94,332750.46,1977435937.02,263348.01,6246296.7,263783.41,1956570687.99,270334.63,6180387.84,270783.03,2815676055.57,372766.47,8894117.74,373356.24,2699100715.2,385545.34,8525881.2,386165.87,2684576093.92,329461.96,8480001.03,329959.76,2630897883.47,323152.48,8310443.06,323601,2487032107.53,255848.71,7856001.88,256182.93,2914003579,306013.71,9204713.33,306397.73,2914003579,322747.39,9204713.33,323116.47,2671762179.88,286275.79,8439524.62,286607.28,2733212560.51,270735.04,8633633.21,271021.73,2713815385.9,250272.68,8572361.69,250537.58,2987013020.16,315407.28,9435334.52,315749.64,2800861783.12,285366.27,8847322.62,285665.72,2405299009.16,201181.7,7597824.52,245321.45,2259731654.32,190070.66,7138008.42,230474.73,2269367374.32,215190.85,7168445.59,215421.59,2061282884.63,177882.62,6511151.25,178062.73,3.11660048811535,-46.4506352300682,3.11660048210697,-46.4876081613832
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Electricity,Upstream Electricity,kWh,14168364733.94,0,123273274.2,4456021.92,13052549911.67,0,113565015.76,4914887.28,13631341906.22,0,118600853.39,4602297.19,14479576692,0,125981004.97,4888683.41,15017935746,0,130665051.75,4738704.45,16246085145.17,0,141350688.41,4984262.03,16163973377.1,0,140636266.76,5285034.33,15962572177.07,0,138883955.48,5096071.92,15658135234.5,0,136235171.42,4447711.9,15056362253.46,0,130999385.42,4003023.64,15705500653.28,0,136647278.98,3839976.28,15452546914.5,0,134446429.68,3768715.62,15430213717.66,0,134252117.47,3269048.97,15882302313.65,0,138185559.51,3474193.93,15414984037.68,0,134119610.12,3332479.84,14577247613.58,0,126830800.59,3151374.25,14622450805.55,0,127224095.48,3161146.47,14487223970.25,0,126047540.88,4130793.39,14214533568.31,0,123674970.76,4093715.58,0.325858595801127,0,0.325858595552743,-8.13071269631456
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Steam,Upstream Steam,kg,1998982583.67,0,6314357.94,94468.23,1977435937.02,0,6246296.7,208052.11,1956570687.99,0,6180387.84,202445.35,2815676055.57,0,8894117.74,303381.65,2699100715.2,0,8525881.2,271586.66,2684576093.92,0,8480001.03,262811.8,2630897883.47,0,8310443.06,291844.79,2487032107.53,0,7856001.88,229890.97,2914003579,0,9204713.33,296142.28,2914003579,0,9204713.33,279229.67,2671762179.88,0,8439524.62,226973.5,2733212560.51,0,8633633.21,232356.97,2713815385.9,0,8572361.69,197198.52,2987013020.16,0,9435334.52,231680.1,2800861783.12,0,8847322.62,212347.91,2405299009.16,0,7597824.52,182358.23,2259731654.32,0,7138008.42,171322.01,2269367374.32,0,7168445.59,154878.28,2061282884.63,0,6511151.25,136902.05,3.11660048811535,0,3.11660048210697,44.9186144378909
CLCPA Addition,Stationary Energy,Residential (small and large residential),Residential,Upstream Natural gas,Upstream Natural gas,SCF,164840051823.53,0,177582187.83,7128793.77,156690514277.53,0,168802691.03,6776352.89,172612235260.26,0,185955161.05,7464915.32,140712584224.4,0,151589666.98,6085359.61,138210347563.96,0,148894007.43,5977146.05,156854670084.42,0,168979536.08,6783452.1,163122617151.33,0,175731995.46,7054520.33,147155810320.07,0,158530954.46,6364008.09,75385413471.51,0,81212705.93,3260172.88,180249523909.04,0,194182812.11,7795203.1,177354752086.9,0,191064274.42,7670013.68,190288200910.23,0,204997478.84,8229343.09,181809058825.62,0,195862899.07,7862647.89,193033693881.09,0,207955198.42,8348076.69,188512555543.6,0,203084576.09,8152552.23,179289161755.73,0,193148213.96,7753670.58,177712778152.27,0,191449975.9,7685497.13,182986680771.08,0,197131551.19,7913576.2,228307193527.52,0,245955339.59,9873540.33,38.5022577958996,0,38.5022577970792,38.5022578651479
